kf_id,name,short_name,code,domain,program
SD_SJ6R8JCG,22qDS,22qDS,D3B-22q,Birth Defect,d3b
SD_08PJW8J2,CHOP Aortic Arch Anomalies,Aortic Arch Anomalies,CHOP-AAA,Birth Defect,CHOP
SD_4MZA1EZE,Canine CNS Study,Canine CNS,D3B-DOGCNS,Birth Defect,d3b
SD_K8GVVH6D,Canine Osteosarcoma Study,Canine Osteosarcoma,D3B-DOGOSTEO,Cancer,d3b
SD_FFVQ3T38,"The Collaboration to Assess Risk and Identify LoNG-term outcomes for Children with COVID (CARING for Children with COVID): NICHD-2019-POP02: Pharmacokinetics, Pharmacodynamics, and Safety Profile of Understudied Drugs Administered to Children per Standard of Care",CARING for Children with COVID: NICHD-2019-POP02,CARING-POP02,COVID-19,CARING
SD_ME0WME0W,😸 Mr. Meow's Memorable Meme Emporium 🚀,Cat Pics,MEOW-MEOW,Other,MEOW
SD_5VJDR25T,CCDI: Discovering the Timing and Origins of Bone and Soft Tissue Cancers,CCDI: Bone and Soft Tissue Cancers,CCDI-BSTC,Cancer,CCDI
SD_Z74AJZ48,CCDI: Germline and Somatic Disease Modifiers of Pediatric Brain Tumors,CCDI: Pediatric Brain Tumors,CCDI-PBT,Cancer,CCDI
SD_7SPQTT8M,Chordoma Foundation data,Chordoma,CHDDMA,Cancer,Chordoma
SD_4E8QVE7R,D3b Craniofacial,D3b Craniofacial,D3B-CRANIO,Birth Defect,d3b
SD_XMMXNQMX,D3b PMA Cell Lines,D3b PMA Cell Lines,D3B-PMA,Cancer,d3b
SD_HKRZZHFW,D3b-DGD,DGD,D3B-DGD,Other,d3b
SD_0P7MKDMS,DUPLICATE - DELETE or REUSE,DUPLICATE - DELETE or REUSE,MEOW-DELETE,Other,MEOW
SD_9XD0KNGH,EGRP Protocol- The Epilepsy Genetics Research Project ,Epilepsy 2021,EGRP,Birth Defect,EGRP
SD_E1BR2TFK,D3b Epilepsy Sequencing Project,Epilepsy Sequencing Project,D3B-ESP,Birth Defect,D3B
SD_X11YENK7,CHOP Fly RNASeq Project w/ Dr. Song,Fly RNA,CHOP-FLY,Other,CHOP
SD_8C478S85,Factors Associated with High Incidence of Pediatric Brain and Central Nervous System Tumors,High Incidence of Pediatric CNS Tumors,D3B-PCNST,Cancer,d3b
SD_8KSDWKHK,Include: The epidemiology of transient leukemia in newborns with Down syndrome,Include: Down Syndrome and Leukemia,INCLUDE-LEUK,"Cancer,Birth Defect",INCLUDE
SD_7YDC1W4H,Include: Genome and transcriptome analysis in the Human Trisome Project,Include: Human Trisome Project,INCLUDE-HTP,Birth Defect,INCLUDE
SD_E8J42ACH,Include: Genetic Underpinnings of the Multifactorial Phenotype of Trisomy 21 Patients Unveiled by Multi-Omics Approaches,Include: Trisomy 21,INCLUDE-T21,Birth Defect,INCLUDE
SD_RM8AFW0R,Kids First: Genomics of Orthopaedic Disease Program,Kids First: Adolescent Idiopathic Scoliosis,KF-AIS,Birth Defect,Kids First
SD_W3NF09W9,Kids First: Whole Genome Sequencing in Congenital Anomalies of the Kidney and Urinary Tract,Kids First: Anomalies of the Kidney and Urinary Tract,KF-AKUT,Birth Defect,Kids First
SD_Z0D9N23X,"Kids First: Single gene pathogenic variants associated with BEEC (Bladder extrophy, Epispadias, Complex)",Kids First: BEEC,KF-BEEC,Birth Defect,Kids First
SD_54G4WG4R,"Kids First: Genomic Etiologies of CHARGE Syndrome, Related Conditions and Structural Anomalies",Kids First: CHARGE,KF-CHARGE,Birth Defect,Kids First
SD_1NNS3K8V,Kids First: The genomic basis of structural birth defects associated with chromosome 18 copy number changes,Kids First: Chromosome 18 SBD,KF-C18,Birth Defect,Kids First
